feature,gain,split
environment_score,514961.2098782939,1263
social_score,114283.64848173922,642
marketCap_log,16901.23307918253,2916
marketCap,10005.916285345946,4141
governance_score,5763.215127113857,387
vol_30d,3649.399199782073,4466
sector_Communication Services,1802.1468054968864,726
ret_1m,1518.7620804676922,3340
trailingPE,1151.3640278212872,2492
beta,771.528705689143,2240
sector_Consumer Cyclical,191.91874148964416,253
sector_Energy,87.0738637233153,201
sector_Financial Services,32.445669665699825,22
sector_Real Estate,12.528541889740154,277
sector_Utilities,11.389957198873162,82
sector_Healthcare,8.322760253679007,40
sector_Industrials,3.9920672565640416,122
sector_Technology,2.9811682334984653,102
sector_Basic Materials,2.343838152009994,101
sector_Consumer Defensive,0.3206323077902198,33
sector___UNKNOWN__,0.0,0
